"rank","time","seconds","vehicle","weather"
0,"01:13.8",73.8,"Pagani Huayra","dry"
1,"01:14.3",74.3,"BAC Mono","dry"
2,"01:15.1",75.1,"Ariel Atom V8 500","moist"
3,"01:16.2",76.2,"McLaren MP4-12C","dry"
4,"01:16.5",76.5,"Lamborghini Aventador LP700-4","dry"
5,"01:16.8",76.8,"Bugatti Veyron Super Sport","dry"
6,"01:17.1",77.1,"Gumpert Apollo S","dry"
7,"01:17.3",77.3,"Ascari A10","dry"
8,"01:17.6",77.6,"Koenigsegg CCX","dry"
9,"01:17.7",77.7,"Noble M600","cold"
10,"01:17.8",77.8,"Nissan GT-R","dry"
11,"01:17.8",77.8,"Pagani Zonda Roadster F","dry"
12,"01:17.9",77.9,"Caterham Seven Superlight R500","cold"
13,"01:18.3",78.3,"Bugatti Veyron 16.4","dry"
14,"01:18.4",78.4,"Pagani Zonda F","dry"
15,"01:18.9",78.9,"Maserati MC12","dry"
16,"01:19.0",79,"Lamborghini Murciélago LP670-4 SuperVeloce","dry"
17,"01:19.0",79,"Mercedes-Benz SLS AMG Black Series","dry"
18,"01:19.0",79,"Enzo Ferrari","dry"
19,"01:19.1",79.1,"Ferrari 458 Italia","dry"
20,"01:19.5",79.5,"Lamborghini Gallardo LP560-4","dry"
21,"01:19.5",79.5,"Porsche 997 GT2","dry"
22,"01:19.5",79.5,"Ariel Atom 2 300","dry"
23,"01:19.6",79.6,"Mercedes-Benz SLS AMG Roadster","dry"
24,"01:19.7",79.7,"Nissan GT-R","dry"
25,"01:19.7",79.7,"Ferrari 430 Scuderia","dry"
26,"01:19.8",79.8,"Ferrari 599 GTO","dry"
27,"01:19.8",79.8,"Lamborghini Murciélago LP640","dry"
28,"01:19.8",79.8,"Porsche Carrera GT","dry"
29,"01:20.4",80.4,"Chevrolet Corvette C6 ZR1","damp"
30,"01:20.4",80.4,"Koenigsegg CCX","dry"
31,"01:20.7",80.7,"Ascari KZ1","damp"
32,"01:20.9",80.9,"Mercedes-Benz SLR McLaren","dry"
33,"01:21.0",81,"Mercedes-Benz C63 AMG Black Series","dry"
34,"01:21.2",81.2,"Ferrari 599 GTB Fiorano","dry"
35,"01:21.6",81.6,"Audi R8 V10","damp"
36,"01:21.7",81.7,"Mercedes-Benz SLS AMG Electric Drive","dry"
37,"01:21.9",81.9,"Ford GT","dry"
38,"01:22.2",82.2,"Porsche 911 Turbo Convertible","dry"
39,"01:22.3",82.3,"Caterham 620R","wet"
40,"01:22.3",82.3,"Audi R8 V10 Spyder","dry"
41,"01:22.3",82.3,"Ferrari 360 Challenge Stradale","dry"
42,"01:22.3",82.3,"Porsche 911 GT3 RS","dry"
43,"01:22.4",82.4,"Chevrolet Corvette C6 Z06","dry"
44,"01:22.5",82.5,"Noble M15","dry"
45,"01:22.8",82.8,"Lexus LFA","wet"
46,"01:22.9",82.9,"Ferrari F430 F1","dry"
47,"01:22.9",82.9,"Porsche 911 Sport Classic","dry"
48,"01:23.0",83,"Mercedes-Benz SL65 AMG Black Series","dry"
49,"01:23.1",83.1,"KTM X-Bow","dry"
50,"01:23.1",83.1,"Maserati Gran Turismo MC Stradale","dry"
51,"01:23.1",83.1,"Porsche 997 GT3","dry"
52,"01:23.2",83.2,"Ferrari F430 Spider F1","dry"
53,"01:23.3",83.3,"Jaguar XKR-S","dry"
54,"01:23.7",83.7,"Lamborghini Murciélago","dry"
55,"01:23.8",83.8,"Pagani Zonda C12 S 7.3","partly damp"
56,"01:23.9",83.9,"Aston Martin DBS","dry"
57,"01:23.9",83.9,"Koenigsegg CC8S","dry"
58,"01:24.0",84,"Ariel Atom 1 220","dry"
59,"01:24.2",84.2,"Veritas RS III","dry"
60,"01:24.3",84.3,"Prodrive P2","dry"
61,"01:24.4",84.4,"Audi R8","damp"
62,"01:24.4",84.4,"Aston Martin Virage","dry"
63,"01:24.6",84.6,"TVR Sagaris","dry"
64,"01:24.8",84.8,"Alfa Romeo 4C","dry"
65,"01:24.8",84.8,"Mitsubishi Lancer Evolution VIII MR FQ-400","damp"
66,"01:24.8",84.8,"TVR Tuscan Mk.II","dry"
67,"01:24.9",84.9,"Bentley Continental Supersports","dry"
68,"01:24.9",84.9,"Porsche Boxster Spyder","dry"
69,"01:24.9",84.9,"Mercedes-Benz E63 AMG","dry"
70,"01:25.0",85,"Noble M12 GTO-3R","dry"
71,"01:25.0",85,"BMW 1 Series M Coupe","damp"
72,"01:25.0",85,"Caterham R400","dry"
73,"01:25.1",85.1,"BMW M135i","dry"
74,"01:25.1",85.1,"Lotus Exige S","dry"
75,"01:25.3",85.3,"Porsche Panamera turbo","dry"
76,"01:25.3",85.3,"BMW M3","dry"
77,"01:25.4",85.4,"Ford GT40","dry"
78,"01:25.7",85.7,"Lotus Evora","dry"
79,"01:25.7",85.7,"Audi RS4","dry"
80,"01:25.7",85.7,"Lamborghini Gallardo Spyder","dry"
81,"01:25.8",85.8,"Lamborghini Gallardo","wet"
82,"01:25.9",85.9,"Morgan Aero 8 GTN","dry"
83,"01:26.0",86,"Mercedes-Benz CLK 63 AMG Black series","dry"
84,"01:26.0",86,"BMW Z4 M roadster","dry"
85,"01:26.0",86,"Noble M400","dry"
86,"01:26.0",86,"Mitsubishi Lancer Evolution VIII MR FQ320","dry"
87,"01:26.2",86.2,"BMW M5","dry"
88,"01:26.2",86.2,"Porsche 911 Carrera S","damp"
89,"01:26.2",86.2,"Brabus S Biturbo Roadster","dry"
90,"01:26.3",86.3,"Vauxhall VXR8 Bathurst S","dry"
91,"01:26.4",86.4,"Lotus Exige","mildly moist"
92,"01:26.5",86.5,"BMW M3 E92 Competition Pack","moist"
93,"01:26.7",86.7,"Porsche Cayman S","dry"
94,"01:26.7",86.7,"Jaguar XFR","dry"
95,"01:26.8",86.8,"Chevrolet Corvette C6 LS2","dry"
96,"01:26.8",86.8,"Aston Martin V12 Vantage","dry"
97,"01:26.8",86.8,"Ferrari 575M Maranello GTC","dry"
98,"01:26.9",86.9,"Lexus IS-F","dry"
99,"01:26.9",86.9,"Mercedes-Benz CLS55 AMG","dry"
100,"01:27.0",87,"BMW M5 E39","dry"
101,"01:27.0",87,"KTM X-Bow","dry"
102,"01:27.1",87.1,"Aston Martin Vanquish S","dry"
103,"01:27.1",87.1,"Aston Martin DB9","dry"
104,"01:27.1",87.1,"HSV Maloo","dry"
105,"01:27.2",87.2,"Porsche 911 GT3","very wet"
106,"01:27.2",87.2,"Tesla Roadster","mildly moist"
107,"01:27.3",87.3,"Spyker C8 Spyder","dry"
108,"01:27.4",87.4,"Aston Martin DBS","wet"
109,"01:27.5",87.5,"Audi RS5","moist"
110,"01:27.5",87.5,"Nissan 370Z GT","dry"
111,"01:27.5",87.5,"TVR T350C","dry"
112,"01:27.7",87.7,"Cosworth Impreza STI CS400","wet"
113,"01:27.7",87.7,"Renault Mégane RenaultSport Cup 265","dry"
114,"01:27.9",87.9,"Wiesmann MF 3","dry"
115,"01:27.9",87.9,"Chevrolet Camaro SS","dry"
116,"01:28.0",88,"Roush Mustang","dry"
117,"01:28.0",88,"BMW M3 CSL","wet"
118,"01:28.1",88.1,"Renault Mégane R26.R","dry"
119,"01:28.2",88.2,"BMW Z4 sDrive35i","dry"
120,"01:28.2",88.2,"BMW X5 M","wet"
121,"01:28.2",88.2,"Mitsubishi Lancer Evolution X FQ-300","dry"
122,"01:28.2",88.2,"Marcos TSO GT2","dry"
123,"01:28.2",88.2,"Lotus Elise Sport 190","dry"
124,"01:28.2",88.2,"Subaru Impreza WRX STI","dry"
125,"01:28.3",88.3,"Vauxhall Astra VXR","dry"
126,"01:28.5",88.5,"Dodge Viper SRT-10","very wet"
127,"01:28.6",88.6,"Volkswagen Golf GTI Mk7","dry"
128,"01:28.6",88.6,"MG XPower SV","dry"
129,"01:28.7",88.7,"Porsche Boxster S","dry"
130,"01:28.7",88.7,"Audi TT MTM Bimoto","cold"
131,"01:28.9",88.9,"Mitsubishi Lancer Evolution VIII MR FQ-300","dry"
132,"01:28.9",88.9,"Porsche 997 Carrera S","very wet"
133,"01:29.0",89,"Mercedes-Benz CL65 AMG","dry"
134,"01:29.0",89,"Lamborghini Murciélago","partly damp"
135,"01:29.0",89,"Alpina Z8 Roadster","dry"
136,"01:29.2",89.2,"BMW M5","dry"
137,"01:29.3",89.3,"Ford Focus RS Mk II","dry"
138,"01:29.4",89.4,"Subaru Impreza WRX STI WR1","dry"
139,"01:29.4",89.4,"Range Rover Sport","dry"
140,"01:29.6",89.6,"Volkswagen Golf GTI Mk VII","dry"
141,"01:29.6",89.6,"Volkswagen Golf GTI W12-650 Concept","dry"
142,"01:29.6",89.6,"Ford Focus ST","dry"
143,"01:29.9",89.9,"Zenvo ST1","very wet"
144,"01:30.0",90,"Autodelta Alfa Romeo 147 GTA 3.7","dry"
145,"01:30.0",90,"Ford Shelby GT500","dry"
146,"01:30.1",90.1,"Subaru Impreza WRX STi","dry"
147,"01:30.1",90.1,"Vauxhall Monaro VXR","dry"
148,"01:30.3",90.3,"Alfa Romeo Giulietta Quadrifoglio Verde","dry"
149,"01:30.4",90.4,"Aston Martin DB7 GT","dry"
150,"01:30.4",90.4,"Volkswagen Golf R32 mk.V","dry"
151,"01:30.8",90.8,"Focus RS 500","wet"
152,"01:30.9",90.9,"Audi S4 quattro 4.2","dry"
153,"01:31.0",91,"Vauxhall Corsa VXR Nurburgring","snow"
154,"01:31.0",91,"Porsche 996 Turbo","very wet"
155,"01:31.2",91.2,"BMW 760Li","wet"
156,"01:31.3",91.3,"Vauxhall VX220 Turbo","dry"
157,"01:31.3",91.3,"Vauxhall VXR8","wet"
158,"01:31.3",91.3,"Toyota GT86","wet"
159,"01:31.4",91.4,"Audi TT Mk.II 2.0T","dry"
160,"01:31.6",91.6,"Honda NSX-R","wet"
161,"01:31.8",91.8,"BMW M3 E46","dry"
162,"01:31.8",91.8,"BMW 535d","dry"
163,"01:31.8",91.8,"Nissan 350Z","dry"
164,"01:31.8",91.8,"Mazda RX-8","dry"
165,"01:31.9",91.9,"BMW 130i","dry"
166,"01:32.0",92,"Renaultsport Clio 200T","dry"
167,"01:32.7",92.7,"Ford Fiesta ST","dry"
168,"01:33.2",93.2,"Peugeot 208 GTi","dry"
169,"01:32.1",92.1,"Mercedes-Benz S63 AMG","wet"
170,"01:32.2",92.2,"Ford Focus RS Mk I","dry"
171,"01:32.2",92.2,"Mazda 6 MPS","dry"
172,"01:32.5",92.5,"Renaultsport Mégane 225 Cup","dry"
173,"01:32.5",92.5,"Lotus Esprit V8","cold"
174,"01:32.7",92.7,"Audi TT 3.2 quattro","dry"
175,"01:32.8",92.8,"Honda Civic Type-R","dry"
176,"01:32.8",92.8,"Jaguar E-Type","dry"
177,"01:32.9",92.9,"SEAT León Cupra R","dry"
178,"01:32.9",92.9,"Mercedes-Benz SLK350","dry"
179,"01:33.0",93,"Audi RS6","very wet"
180,"01:33.0",93,"Vauxhall Astra VXR","dry"
181,"01:33.0",93,"Mercedes-Benz SL55 AMG","very wet"
182,"01:33.1",93.1,"Noble M12 GTO","wet"
183,"01:33.2",93.2,"Audi Q7 V12","wet"
184,"01:33.3",93.3,"Volkswagen Golf Mk.IV R32","dry"
185,"01:33.4",93.4,"Cadillac CTS-V First Generation","very wet"
186,"01:33.5",93.5,"Honda Civic Type-R","dry"
187,"01:33.5",93.5,"SEAT Leon Cupra Mk2","dry"
188,"01:33.7",93.7,"MG ZT 260","dry"
189,"01:33.7",93.7,"Volkswagen Golf Mk.V GTI","dry"
190,"01:33.7",93.7,"2002 Honda NSX","very wet"
191,"01:33.8",93.8,"Clio Renault Sport 182","dry"
192,"01:33.9",93.9,"Holden Monaro","wet"
193,"01:34.0",94,"Renault Mégane 225","dry"
194,"01:34.0",94,"Renault Clio 200 Cup","dry"
195,"01:34.2",94.2,"MINI Cooper S Works","dry"
196,"01:34.2",94.2,"Ford Mondeo ST220","dry"
197,"01:34.7",94.7,"Jaguar XKR","melted snow"
198,"01:34.9",94.9,"Ford Focus ST","wet"
199,"01:35.0",95,"Volvo S60 R","dry"
200,"01:35.2",95.2,"Ferrari 575M Maranello","very wet"
201,"01:35.3",95.3,"Vauxhall Vectra VXR","dry"
202,"01:35.4",95.4,"Renault Avantime","dry"
203,"01:35.5",95.5,"Fiat 500 Abarth Essesse SS","dry"
204,"01:35.5",95.5,"Mercedes-Benz E55 AMG","very wet"
205,"01:35.6",95.6,"Alfa Romeo 147 GTA","dry"
206,"01:35.6",95.6,"Lotus Elise","wet"
207,"01:35.8",95.8,"Citroën C4 VTS","dry"
208,"01:36.2",96.2,"Aston Martin Vanquish","very wet"
209,"01:36.2",96.2,"Renaultsport Clio V6","very wet"
210,"01:36.9",96.9,"Alfa Romeo Brera 2.2","dry"
211,"01:37.0",97,"Mercedes-Benz SL500","dry"
212,"01:37.0",97,"Porsche Boxster","very wet"
213,"01:37.3",97.3,"BMW Z4 3.0i","very wet"
214,"01:37.4",97.4,"Honda S2000","very wet"
215,"01:37.9",97.9,"Saab 9-5 Aero","dry"
216,"01:38.0",98,"Maserati 4200 GT","very wet"
217,"01:38.06",98.6,"Honda Civic Type-R","dry"
218,"01:38.2",98.2,"Alfa Romeo 8C Competizione","very wet"
219,"01:39.0",99,"Subaru Impreza WRX","dry"
220,"01:39.4",99.4,"Bowler Wildcat","dry"
221,"01:40.4",100.4,"Morgan 3 Wheeler","dry"
222,"01:40.8",100.8,"Bentley Arnage T","wet"
223,"01:41.?","01:41.?","Ford Mondeo 2.0i","dry"
224,"01:42.5",102.5,"""Modified"" Renault Avantime","dry"
225,"01:43.2",103.2,"BMW 318i","dry"
226,"01:44.0",104,"Overfinch 580 S","very wet"
227,"01:45.5",105.5,"Caterham 160","wet"
228,"01:46.0",106,"Aston Martin DB5","dry"
229,"01:48.2",108.2,"Hawk HF3000","wet"
230,"01:50.3",110.3,"Spitfire Bentley","dry"
231,"02:02.5",122.5,"Brutus","dry"
232,"18:37.0",1117,"Porsche Pain Au Chocolat","dry"
233,"DNF","DNF","Porsche 959","dry"
234,"DNF","DNF","Reliant Robin","dry"
235,"DNS","DNS","Ferrari F40","dry"
